StoreName,StoreCode,ownerName,address1,address2,area,city,state,pincode,businessType,outletType,email,phoneNumber,latitude,longitude
AMSB RESOURCES SERVICES SDN. BHD. (Mon-Sat: 9.30am-6pm|Fri: 12pm-3pm rest),A192,MOZIIR,"NO. 41, LORONG SULTAN SULAIMAN MOHAMAD 1A,","BANDAR SULTAN SULAIMAN,","PELABUHAN KLANG, SELANGOR",KLANG,SELANGOR,42000,Standalone,11,sales@pmmahsuri.com.my,013-2886837,3.128957,101.465118
ANDA MINI MARKET,A210,,"NO. 3, JALAN GP UTAMA,","TAMAN GARING PERMAI,","RAWANG, SELANGOR",RAWANG,SELANGOR,48000,Standalone,11,sales@pmmahsuri.com.my,012-3187434,3.339879,101.577612
ANGKARAMA SDN BHD,A133,LOUISE,ANGKARAMA SDN BHD,"NO. 943, JALAN SULTAN MAHMUD, KUALA IBAI",KUALA TERENGGANU.,KUALA TERENGGANU,TERENGGANU,20400,Standalone,11,sales@pmmahsuri.com.my,09-6163377,5.310178702,103.1571132
ANJUNG SATU ENTERPRISE (Inform sales person for confirmation before delivery),A119,BATAM,ANJUNG SATU ENTERPRISE,"NO.16, KEDAI RUNCIT, FELDA CHINI SATU,",CHINI PAHANG.,CHINI,PAHANG,26690,Standalone,11,sales@pmmahsuri.com.my,013-993 9877,3.378511246,102.9380768
ANNACHI WHOLESALE CASH & CARRY (M) SDN. BHD.,A190,THANGARAJ,"PT 9335, JALAN TS 2/1,","TAMAN SEMARAK,","NILAI, NEGERI SEMBILAN",NILAI,NEGERI SEMBILAN,71800,Wholesale,12,sales@pmmahsuri.com.my,019-2078019,2.815707,101.813339
ANTHONY A/L AROKIAM,A201,RANI,"PT 1100-176, JALAN DS 1/12,","BANDAR DATARAN SEGAR,","PORT DICKSON, N. SEMBILAN",BANDAR HILIR,NEGERI SEMBILAN,71000,Standalone,11,sales@pmmahsuri.com.my,012-9245160,2.5678068,101.8269905
APMK ENTERPRISE,A199,KUMANAN,"NO. 32,","JALAN BESAR KUALA SAWAH,","RANTAU, NEGERI SEMBILAN",RANTAU,NEGERI SEMBILAN,71200,Standalone,11,sales@pmmahsuri.com.my,016-6357276,2.6707434,101.9207589
ARAKHAN RAHAMAT SDN BHD,A117,MUHAMMAD FALAH BIN HASSAN,"ARAKHAN RAHAMAT SDN BHD, 2, JALAN SINAR BAKRI 2,","PUSAT PERNIAGAAN SINAR BAKRI,","BUKIT BAKRI, MUAR, JOHOR.",MUAR,JOHOR,84200,Standalone,11,sales@pmmahsuri.com.my,018-665 3282,2.041680701,102.6564027
ARAS DUA ENTERPRISE (FRIDAY open 3.00pm),A118,ADI HATIM BIN AHMAT ASIM,ARAS DUA ENTERPRISE,"NO 12, JALAN KUNDANG, KAMPUNG TEHEL,","BEMBAN, MELAKA.",AYER MOLEK,MELAKA,77200,Standalone,11,sales@pmmahsuri.com.my,013-644 1644,2.232541938,102.2415204
ARD ASIAH ENTERPRISE (Open 7am-8pm|1pm-4pm rest),A202,ABDUL RAZAK,"NO. 116, BLOK 6,","FELDA PALONG 15,","GEMAS, N. SEMBILAN",GEMAS,NEGERI SEMBILAN,73470,Standalone,11,sales@pmmahsuri.com.my,019-6710327,2.9457585,102.4959275
ARL SUPER MART (Mon-Sat: 9am-5.30pm),A172,RAJAL,"NO 29G, JALAN WAWASAN 2/22,","PUSAT BANDAR PUCHONG,","PUCHONG, SELANGOR",PUCHONG,SELANGOR,47100,Standalone,11,sales@pmmahsuri.com.my,018-3714010,3.028178,101.625312
AS BISMI MINI MART (9am-9pm|Fri: 12pm-3pm),A196,AHMAD,"NO. 11, JALAN SENTUL MURNI,","SENTUL PASAR,",KUALA LUMPUR,SENTUL,KUALA LUMPUR,51000,Standalone,11,sales@pmmahsuri.com.my,016-7501786,3.195193933,101.6916745
ASD SUNMOON SDN BHD,A126,AZLISHAM,ASD SUNMOON SDN BHD,"B96, TINGKAT BAWAH, JALAN BUKIT UBI,",KUANTAN PAHANG.,KUANTAN,PAHANG,25000,Standalone,11,sales@pmmahsuri.com.my,,3.808958963,103.323537
ASHA SPEEDMART (FRIDAY CLOSED),A124,RAHMAN,"ASHA SPEEDMART, NO3 JALAN COLLEGE HEIGHT 1/1,","TMN COLLEGE HEIGHT SIKAMAT,",SEREMBAN NS.,SEREMBAN,NEGERI SEMBILAN,70400,Standalone,11,sales@pmmahsuri.com.my,014-633 2515,2.750565,101.966302
ASHOKAH GROCERY & SPICE MART (Mon-Sat: 10am-6pm),A174,LOGESWARAN,"NO. 1114, PERSIARAN RAJA MUDA MUSA,","KAWASAN 6,","KLANG, SELANGOR",KLANG,SELANGOR,41200,Grocery,07,sales@pmmahsuri.com.my,012-5121345,3.128957,101.465118
ASIAN DINE SDN BHD,A022,WAN IRFAN HUZAIMI,"NO. 78 & 78-1, JALAN TIMUR 6/2D,","MERCATO 2, BANDAR ENSTEK,",NEGERI SEMBILAN DARUL KHUSUS,SEPANG,NEGERI SEMBILAN,71760,Standalone,11,sales@pmmahsuri.com.my,,3.187566,101.571467
ATHILAKSHMI CASH & CARRY SDN BHD,A016,,"2/7, JALAN UDANG SIAR 2",TAMAN SRI SEGAMBUT,KUALA LUMPUR,SEGAMBUT,KUALA LUMPUR,52000,Standalone,11,sales@pmmahsuri.com.my,,3.198416112,101.6579334
AURA NURILHAM ENTERPRISE,A204,NORIZAH BT SALAY,"G10, GERAI MBSA, JALAN WELFARE,","KG. BARU SG. BULOH,","SG. BULOH, SELANGOR",SUNGAI BULOH,SELANGOR,47000,Standalone,11,sales@pmmahsuri.com.my,016-4944723,3.2153632,101.5662228
AUTHENTIC CHARCOAL GRILL HOUSE -  DELIVERY BY THOMAS,A130,NGA HWA HO,"AUTHENTIC CHARCOAL GRILL HOUSE, 215 JALAN S2 B11",UPTOWN AVENUE SEREMBAN 2,SEREMBAN NEGERI SEMBILAN,SEREMBAN,NEGERI SEMBILAN,70300,Standalone,11,sales@pmmahsuri.com.my,066037022,2.694291,101.909831
AYANG MAJU ENTERPRISE (Fri: 12pm-3pm close),A175,HALIM,"NO. 27, TINGKAT BAWAH JALAN MUAFAKAT 1,","TAMAN DATO BANDAR BATU 5 1/2 OFF JALAN MERU,","KLANG, SELANGOR",KLANG,SELANGOR,41050,Standalone,11,sales@pmmahsuri.com.my,016-9922466,3.128957,101.465118
AZHALAGAN RESOURCES (Friday close),A171,HASAN,"NO. 189, GR FL, JALAN RAJA MOKHTAR 4,","PEKAN KAPAR,","KAPAR, SELANGOR",KLANG,SELANGOR,42200,Standalone,11,sales@pmmahsuri.com.my,011-23708437,3.128957,101.465118
AZIZI MINI MARKET,A006,ALIBASYAH,"NO.2, LOT 1385,","JALAN BESAR KUBU GAJAH,", SUNGAI BULOH,SUNGAI BULOH,SELANGOR,47000,Standalone,11,sales@pmmahsuri.com.my,012-2234383,3.1973148,101.567381
AZVA GLOBAL SDN BHD (Mon-Fri: 8am-6pm|Fri: 12pm-3pm rest|Sat: 4pm close),A170,SHARIF,"NO 14, JALAN 6/9,","KG. TASEK TAMBAHAN,","AMPANG, SELANGOR",AMPANG,SELANGOR,68000,Standalone,11,sales@pmmahsuri.com.my,010-2656897,3.129033,101.465084
B CART TRADING,B151,,5 JALAN SUNGAI BESI INDAH 5/2,TAMAN SUNGAI BESI INDAH,SUNGAI BESI,SERI KEMBANGAN,SELANGOR,43300,Standalone,11,sales@pmmahsuri.com.my,010-3973972,3.026672,101.724401
BABAU SENTOSA ENTERPRISE (SELANGA FRESH MART) (Open 7am-10pm | Close Fri:12pm-2.30pm),B143,PIJAL,"NO. 26, JALAN ASTANA ALAM E 13/E,","PUSAT NIAGA ASTANA ALAM, SEKSYEN 13,","BANDAR PUNCAK ALAM, SELANGOR",PUNCAK ALAM,SELANGOR,42300,Standalone,11,sales@pmmahsuri.com.my,013-5253817,3.245137,101.426723
BABAU SENTOSA SDN BHD,B142,IPIA PUTRA,"NO 2791, JALAN SJ 3/1A,","TAMAN SEREMBAN JAYA,","SEREMBAN, NEGERI SEMBILAN (PJB TAK BOLEH MASUK)",SEREMBAN,NEGERI SEMBILAN,70450,Standalone,11,sales@pmmahsuri.com.my,017-6557989,2.682213,101.972429
BAIDURI BIJAKSANA SDN. BHD.,B148,CHIEW KAH FUCI,"PT 4943-G, JALAN TS 2/1A,","TAMAN SEMARAK 1,","NILAI, NEGERI SEMBILAN",NILAI,NEGERI SEMBILAN,71800,Standalone,11,sales@pmmahsuri.com.my,014-9105185,2.818299,101.814185
BAIDURI MART (CALL B4 DELIVERY),B108,MUSA BIN ABDUL RAHIM,BAIDURI MART,"PS 1639 TAMAN BAIDURI PULAU SEBANG,","TAMPIN, MELAKA.",TAMPIN,MELAKA,73000,Standalone,11,sales@pmmahsuri.com.my,,2.458855,102.223937
BAKERS CHOICE INGREDIENTS STORE,B103,NG CHEUN CHONG,"BAKERS CHOICE INGREDIENTS STORE, NO.11,","JALAN MUTIARA MELAKA 5, TAMAN MUTIARA MELAKA,",MELAKA.,BATU BERENDAM,MELAKA,75350,Standalone,11,sales@pmmahsuri.com.my,06-317 7505,2.240938969,102.2595423
BAN BEE HUAT ENTERPRISE,B012,,"NO.410,","JALAN JUGRA,","BANTING, SELANGOR D.E.",BANTING,SELANGOR,42700,Standalone,11,sales@pmmahsuri.com.my,03-31879228,2.81213,101.497758
BAN JOO TRADING CO. *,B015,,"NO. 102, JALAN MORIB,","BANTING,",KUALA LANGAT,LANGAT,SELANGOR,42700,Standalone,11,sales@pmmahsuri.com.my,016-2196038,3.128957,101.465118
BAN SENG HIN CO.SDN BHD,300B/002,MS. SALINA (OCBC 7501014532),"30,","KOTA SARANG SEMUT,", KEDAH DARUL AMAN,KOTA SARANG SEMUT,KEDAH,6800,Standalone,11,sales@pmmahsuri.com.my,04-769 1226,5.971514518,100.401395
BAN SING SUNDRY ENTERPRISE,B003,MR LIM KING YAU,"132, JALAN DATO MOYANG SALLEH,",KUALA KLAWANG,"JELEBU, NEGERI SEMBILAN",JELEBU,NEGERI SEMBILAN,71600,Standalone,11,sales@pmmahsuri.com.my,06-6136 314,2.939717,102.070984
BAN Y MINI MARKET,B152,WONG,"NO. 4 & 5,","TAMAN PATIN INDAH, MAMBAU,","SEREMBAN, NEGERI SEMBILAN",SEREMBAN,NEGERI SEMBILAN,70300,Standalone,11,sales@pmmahsuri.com.my,019-2993199,2.6707412,101.9207556
BANG SHENG TRADING,B017,CHIN KWOK PING,"LOT-A3, A7, A11, A15, A19, A23, A27, A31","A35, BLOCK A, PASAR BORONG NILAI 3,"," NILAI, NEGERI SEMBILAN.",NILAI,NEGERI SEMBILAN,71800,Standalone,11,sales@pmmahsuri.com.my,06-794 0407,2.85325,101.800804
BEAUTY LIVING (PANDAN INDAH) SDN. BHD. (Open receiving 9am-6pm),B150,,"NO. 1 & 3 (GROUND FLOOR),","JALAN PANDAN 4/2, PANDAN INDAH,",KUALA LUMPUR,PANDAN INDAH,KUALA LUMPUR,55100,Standalone,11,sales@pmmahsuri.com.my,03-51215055,3.129901994,101.7563689
BEN MART TRADING SDN BHD,B121,,"NO 2-4-6-8, JALAN","BANGAU 73, KEPONG BARU,",KUALA LUMPUR.,KEPONG,KUALA LUMPUR,52100,Standalone,11,sales@pmmahsuri.com.my,03-6277 8869,3.206207093,101.6533077
BERAS AGRO (M) SDN BHD,B039,MR SALIM,"LOT 2737-C, ","KG BARU SG BULOH,","SHAH ALAM, SELANGOR",SHAH ALAM,SELANGOR,47000,Standalone,11,sales@pmmahsuri.com.my,016-2275240,3.1899834,101.5649231
